Attorney_ID,Canonical_Name,AKA_1,AKA_2,AKA_3,Variants_Merged,Firms,N_MDLs,N_Mentions,MDLs,Roles,Confidence,Gender,Birth_Year,Undergrad_School,Undergrad_Grad_Year,Law_School_Name,Law_Grad_Year,Bar_States,Sources,Notes
A0015,Christopher V. Tisi,Chris Tisi,,,2,,2,3,"1657, 1909",Fees; Management,merged,,,,,,,,,
A0016,"Joe R. Whatley, Jr.",Joe R. Whatley Jr.,Joe R. Whatley,Joe Whatley,2,"Whatley Drake & Kallas; Whatley Drake, LLC; Whatley Drake & Kallas LLC; Whatley Drake and Kallas, LLC",9,10,"1658, 1811, 1928, 1938, 1960, 1997, 2068, 2199, 2415",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0017,Don Barrett,John W. (“Don”) Barrett,"John W. (""Don"") Barrett",,2,"Barrett Law Office, P.A.; Barrett Law Group, PA; Barrett Law Group, P.A.",5,7,"1699, 1751, 2068, 2993, 3080",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0018,Steve W. Berman,Steve Berman,"Steve W. Berman, Esq.",Steven W. Berman,2,"Hagens Berman Sobol Shapiro LLP; HAGENS BERMAN SOBOL SHAPIRO LLP; Hagens Berman Sobol Shapiro, LLP; HAGENS BERMAN SOBOL SHAPIRO, LLP",11,21,"1699, 1850, 1938, 1972, 2455, 2938, 3040, 3052, 3071, 3080, 3113",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0019,Paul Sizemore,J. Paul Sizemore,,,2,Giardi Keese,2,2,"1699, 1968",Management,merged,,,,,,,,,
A0020,Tobias L. Millrood,Mr. Tobias L. Millrood,Tobias Milrood,,2,"Schiffrin & Barroway, LLP; Pogust Braslow & Millrood, LLC",3,4,"1708, 1909, 2974",Management,merged,,,,,,,,,
A0021,Timothy M. O’Brien,Timothy M. O'Brien,Timothy O'Brien,Tim O'Brien,2,"Levin, Papantonio, Thomas, Mitchell, Echsner & Proctor, P.A.; Levin Papantonio Rafferty Proctor Buchanan O’Brien Barr Mougey, P.A.; Levin, Papantonio, Rafferty, Proctor, Buchanan, O'Brien, Barr & Mougey, P.A.; LEVIN, PAPANTONIO, RAFFERTY, PROCTOR, BUCHANAN, O’BRIEN, BARR & MOUGEY, P.A.",5,7,"1708, 1789, 2973, 3029, 3044",Fees; LeadCounsel; Management,merged,,,,,,,,,
A0022,Christopher Coffin,Christopher L. Coffin,Chris Coffin,,2,"Pendley, Baudin & Coffin, LLP; Pendley, Baudin & Coffin, L.L.P.",7,7,"02000, 1736, 1958, 2247, 2342, 2458, 2502",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0023,Christopher M. Placitella,Christopher M. Placittella,,,2,"Cohen, Placitella & Roth; Cohen, Placitella & Roth, A Professional Corporation",2,3,"1763, 1817",Coordination; Management,merged,,,,,,,,,
A0024,Robert G. Germany,Bob Germany,,,2,"PITTMAN, GERMANY, ROBERTS & WELSH, L.L.P.; Pittman, Germany, Roberts & Welsh, LLP",2,2,"1760, 1789",Management,merged,,,,,,,,,
A0025,Camp Bailey,K. Camp Bailey,,,2,Bailey Perrin Bailey,2,2,"1769, 1968",LeadCounsel; Management,merged,,,,,,,,,
A0026,H. Blair Hahn,Blair Hahn,,,2,"Richardson, Patrick, Westbrook & Brickman, LLC; RICHARDSON, PATRICK, WESTBROOK, & BRICKMAN, LLC; Richardson, Patrick, Westbrook, & Brickman LLC",4,10,"1785, 1953, 2333, 2502",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0027,Isaac Diel,Issac Diel,Isaac L. Diel,,2,Sharp Law LLP; Sharp McQueen PA,3,7,"1785, 2328, 2993",ClassCounsel; Management,merged,,,,,,,,,
A0028,Thomas V. Bender,Tom Bender,,,2,"Horn Aylward & Bandy, LLC; Walters Bender Strohbehn & Vaughan, P.C.; WALTERS BENDER STROHBEHN & VAUGHAN, P.C.; Horn, Aylward & Bandy, LLC",3,11,"1840, 1967, 2936",ClassCounsel; Communications; Discovery; Expert; LeadCounsel; Management; Motions,merged,,,,,,,,,
A0029,James H. Welsh,James Walsh,,,2,McGuireWoods LLP,2,4,"1845, 2196",Communications; LeadCounsel,merged,,,,,,,,,
A0030,Matt Moreland,Matthew B. Moreland,,,2,,2,2,"1873, 2328",Management,merged,,,,,,,,,
A0031,Jeff S. Westerman,Jeff Westerman,Jeff S.Westerman,Jeffrey Westerman,2,Milberg LLP; Westerman Law Corp.; Milberg Weiss LLP,4,8,"1891, 2145, 2199, 2264",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0032,Tor Hoerman,Tor Hoermann,,,2,Simmons Cooper LLC,2,4,"1909, 2385",Coordination; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0033,Steven R. Maher,Steven Maher,Stephen Maher,,2,THE MAHER LAW FIRM; Maher Law Firm,3,3,"1935, 1938, 2100",LeadCounsel; Management,merged,,,,,,,,,
A0034,Theodore Babbitt,Ted Babbitt,,,2,"Babbitt, Johnson, Osborne & LeClainche, P.A.; Babbitt, Johnson, Osborne & LeClainche",1,2,1928,Communications; Management,merged,,,,,,,,,
A0035,Doug Monsour,Douglas Monsour,,,2,Monsour Law Firm; The Monsour Law Firm; MONSOUR LAW FIRM,3,7,"1928, 3081, 3140",Discovery; Management,merged,,,,,,,,,
A0036,Gregory Asciolla,Gregory S. Asciolla,Greg Asciolla,,2,LABATON SUCHAROW LLP; Labaton Sucharow; DiCello Levitt LLP,5,8,"1957, 2284, 2993, 3107, 3148",ClassCounsel; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0037,Ron Goldman,Ronald L.M. Goldman,,,2,"Baum Hedlund, Aristei & Goldman, PC; Baum Hedlund Aristei & Goldman",2,4,"1953, 2085",Management,merged,,,,,,,,,
A0038,Andy Alonzo,Andy Alonso,,,2,"Parker & Wachman; Parker Waichman Alonso LLP; Parker Waichman & Alonso, LLP",3,5,"1953, 2051, 2068",LeadCounsel; Management,merged,,,,,,,,,
A0039,Erick Rosemond,G. Erick Rosemond,,,2,"Hissey Kientz, L.L.P.; Hissey Kientz, L.L.P",1,2,1968,Management,merged,,,,,,,,,
A0040,A. J. De Bartolomeo,A.J. De Bartolomeo,A. 1. De Bartolomeo,A.J. DeBartolomeo,2,Girard Gibbs LLP,4,6,"1982, 2100, 2299, 2385",ClassCounsel; Management,merged,,,,,,,,,
A0041,Bryan Clobes,Bryan L. Clobes,Brian Clobes,,2,Cafferty Faucher LLP; Cafferty Clobes Meriwether & Sprengel LLP; Cafferty Clobes Meriwether & Sprengel LLP-IL,4,5,"1960, 1997, 2968, 3115",ClassCounsel; LeadCounsel; Management; Motions,merged,,,,,,,,,
A0042,Salvador Antonetti-Zequira,Salvador J. Antonetti-Stutts,,,2,O’NEILL & BORGES,1,2,1960,Communications; Discovery; Management,merged,,,,,,,,,
A0043,C. Calvin Warriner,Calvin Warriner,"Calvin Warriner, III",,2,,3,5,"2004, 2949, 3044",LeadCounsel; Management,merged,,,,,,,,,
A0044,Stephen A. Corr,Stephen A.Cor,,,2,"MELLON, WEBSTER & SHELLY; Stark & Stark, P.C.",3,7,"1995, 2342, 2458",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0045,Jeff Carton,Jeffrey I. Carton,,,2,Denlca & Carton LLP,2,2,"2023, 2491",LeadCounsel; Management,merged,,,,,,,,,
A0046,S. Thomas Weinner,Thomas Wienner,,,2,"Weinner & Gould, P.C.; Wienner & Gould, P.C.",1,2,2042,Management,merged,,,,,,,,,
A0047,Norman E. Siegel,Norman Eli Siegel,Norman Siegel,Norman E. Seigel,2,Stueve Siegel Hanson LLP; Stueve Siegel Hanson LLP - KCMO; STUEVE SIEGEL HANSON LLP,10,22,"2086, 2583, 2904, 2915, 3019, 3073, 3083, 3098, 3108, 3115",ClassCounsel; Communications; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0048,Conlee Whiteley,Conlee S. Whiteley,Conlee Whitely,,2,"KANNER & WHITELEY, L.L.C.",2,3,"2107, 2924",ClassCounsel; Management,merged,,,,,,,,,
A0049,Matthew Sill,Matthew J. Sill,Matt Sill,,2,Fulmer Sill; Sill & Medley; the Sill Law Group; Sill Law Group,4,9,"2226, 2700, 3026, 3108",ClassCounsel; Communications; Coordination; LeadCounsel; Management,merged,,,,,,,,,
A0050,Thomas J.H. Brill,Tom Brill,Thomas H. Brill,Thomas Brill,2,Law Office of Thomas H. Brill,1,6,2328,ClassCounsel; Communications; LeadCounsel,merged,,,,,,,,,
A0051,Palmer Lambert,M. Palmer Lambert,,,2,"Gainsburgh, Benjamin; Gainsburgh, Benjamin, David, Meunier & Warshauer, L.L.C.",2,4,"2328, 2454",ClassCounsel; Management,merged,,,,,,,,,
A0052,Katie McElveen,Catherine H. McElveen,,,2,"Richardson, Patrick, Westbrook & Brickman, LLC; McCulley McCluer LLC",2,2,"2333, 2972",Communications; Management,merged,,,,,,,,,
A0053,Marc L. Godino,Mark Godino,,,2,"Glancy Prongay & Murray, LLP; Glancy Binkow and Goldberg LLP",2,7,"2357, 2904",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0054,Pete Flowers,Peter Flowers,,,2,"Meyers & Flowers, LLC",2,4,"2385, 3004",LeadCounsel; Management,merged,,,,,,,,,
A0055,Michael Weinkowitz,Mike Weinkowitz,,,2,,2,6,"2385, 3047",Management,merged,,,,,,,,,
A0056,Joseph F. Rice,Joe Rice,,,2,"Motley Rice, LLC",2,2,"2502, 2996",Management,merged,,,,,,,,,
A0057,Theodore J. Leopold,Ted Leopold,,,2,"COHEN MILSTEIN SELLERS & TOLL PLLC; Cohen Milstein Sellers & Toll, PLLC",1,2,2540,ClassCounsel; LeadCounsel,merged,,,,,,,,,
A0058,Benjamin F. Johns,Benjamin Johns,Ben Johns,,2,CHIMICLES & TIKELLIS LLP; Chimicles & Tikellis LLP,2,4,"2577, 3090",ClassCounsel; Management,merged,,,,,,,,,
A0059,Pete Albanis,"Panagiotis “Pete” V. Albanis, Esq.",Panagiotis V. Albanis,,2,"MORGAN AND MORGAN COMPLEX LITIGATION GROUP; Morgan & Morgan, PA; MORGAN & MORGAN",3,3,"2577, 2688, 3079",ClassCounsel; Management,merged,,,,,,,,,
A0060,Jean S. Martin,Jean Sutton Martin,Jean Martin,Juan R. Martinez,2,Morgan & Morgan; Morgan & Morgan Mass Tort Dept.,4,7,"2904, 3080, 3096, 3114",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0061,Douglas J. McNamara,Douglas McNamara,Doug McNamara,,2,Cohen Milstein Sellers & Toll PLLC,4,18,"03083, 2904, 2972, 3083",ClassCounsel; Discovery; LeadCounsel; Management,merged,,,,,,,,,
A0062,Frederick Longer,Frederick S. Longer,Fred Longer,,2,Levin Sedran & Berman LLP,2,4,"2924, 3089",Management; Motions,merged,,,,,,,,,
A0063,Marlo Fischer,Marlo Fisher,,,2,Laminack Pirtle & Martines; LAMINACK PIRTLE & MARTINES,2,4,"2924, 3092",Management,merged,,,,,,,,,
A0064,Travis Griffith,Travis A. Griffith,Travis Griffth,,2,"Griffith Law Center, PLLC; GRIFFITH LAW CENTER, PLLC",1,6,2936,ClassCounsel; Discovery,merged,,,,,,,,,
A0065,Ann Callis,Anne Callis,,,2,Holland Law Firm,2,5,"2973, 3043",Coordination; Management,merged,,,,,,,,,
A0066,D. Nicole Guntner,D. Nicole Gunter,,,2,"Aylstock, Witkin, Kreis & Overholtz, PLLC; Aylstock, Witkin, Kreis & Overholtz PLLC",2,3,"2973, 3094",Management,merged,,,,,,,,,
A0067,R. Eric Kennedy,Robert E. (Eric) Kennedy,,,2,"Weisman, Kennedy & Berris Co., L.P.A.; Weisman, Kennedy & Berris; Weisman Kennedy",3,5,"3004, 3044, 3140",Discovery; Management,merged,,,,,,,,,
A0068,Julia Merritt,Julia A. Merritt,Julia Merrit,,2,Beasley Allen; Chaffin Luhana,2,4,"3004, 3140",Management; Vetting,merged,,,,,,,,,
A0069,Diandra “Fu” Debrosse Zimmermann,Diandra “Fu” Debrosse Zimmerman,Diandra Debrosse Zimmermann,,2,Dicello Levitt Gutzler; DiCello Levitt,4,7,"3004, 3026, 3047, 3094",LeadCounsel; Management,merged,,,,,,,,,
A0070,Richard M. Paul III,Rick Paul,RICK PAUL,,2,Paul LLP,5,9,"2993, 3023, 3025, 3031, 3043",ClassCounsel; Communications; Management,merged,,,,,,,,,
A0071,D. Aaron Rihn,Daniel Rihn,,,2,"Robert Peirce & Associates, P.C.; Robert Peirce & Associates",2,4,"3014, 3140",Communications; Coordination,merged,,,,,,,,,
A0072,Timothy Semenoro,Timothy Semenero,,,2,"Montgomery McCracken Walker & Rhoads LLP; Montgomery McCracken, Walker & Rhoads LLP",1,2,3028,LeadCounsel; Management,merged,,,,,,,,,
A0073,Steven Bloch,Steve Bloch,,,2,Silver Golub & Teitell LLP,2,3,"3025, 3144",ClassCounsel; Management,merged,,,,,,,,,
A0074,Sterling Aldridge,Sarah Sterling Aldridge,,,2,"Barrett Law Group, P.A.",3,6,"2993, 3031, 3032",ClassCounsel; LeadCounsel,merged,,,,,,,,,
A0075,Steve Nathan,Steven M. Nathan,Steven Nathan,,2,HAUSFELD LLP,3,3,"3055, 3074, 3090",ClassCounsel; Discovery; Management,merged,,,,,,,,,
A0076,Thomas Loeser,Tom Loeser,Thomas E Loeser,Thomas E. Loeser,2,Cotchett Pitre & McCarthy LLP; Hagens Berman Sobol Shapiro LLP,3,5,"3073, 3114, 3115",Management,merged,,,,,,,,,
A0077,Nicholas Colella,Nicholas A. Colella,Nicolas Colella,,2,"LYNCH CARPENTER, LLP",2,4,"3074, 3090",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0078,Jeff Ostrow,Jeffrey M. Ostrow,,,2,Kopelowitz Ostrow Ferguson Weiselberg Gilbert; Kopelowitz Ostrow P.A.,5,12,"3090, 3108, 3114, 3115, 3127",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0079,Bill Carmody,William Christopher Carmody,,,2,Susman Godfrey LLP; SUSMAN GODFREY LLP,2,4,"3113, 3121",ClassCounsel; LeadCounsel,merged,,,,,,,,,
A0080,Michael Critchiey Sr.,Michael Critchley Sr.,,,2,"Critchley & Kinum; CRITCHLEY, KINUM & LURIA, LLC",1,2,3113,Trial,merged,,,,,,,,,
A0081,Grant L. Davis,,,,1,"DAVIS, BETHUNE & JONES, LLC",1,2,1657,Management,high,,,,,,,,,
A0082,Thomas J. Preuss,,,,1,WAGSTAFF & CARTMELL LLP; Preuss | Foster Law,2,3,"1657, 3037",LeadCounsel; Management,high,,,,,,,,,
A0083,Shelly A. Sanford,Shelly Sanford,,,1,"Goforth Lewis Sanford; Goforth Lewis Sanford, LLP; Sanford Pinedo LLP",4,5,"1657, 1699, 1789, 1968",Management,high,,,,,,,,,
A0084,Dawn Barrios,Dawn M. Barrios,,,1,"BARRIOS, KINGSDORF & CASTIEX, LLP; Barrios, Kingsdorf & Casteix, LLP; Barrios Kingsdorf & Casteix",2,9,"1657, 2299",Bellwether; Communications; Coordination; Fees; Management; Trial,high,,,,,,,,,
A0085,Turner W. Branch,,,,1,Branch Law Firm,1,2,1657,Coordination,high,,,,,,,,,
A0086,Michael S. Burg,Michael Burg,,,1,"Burg Simpson Eldredge Hersh & Jardine; Burg, Simpson, Eldredge, Hersh & Jardine; Burg Simpson Eldredge Hersh & Jardine, P.C.",3,7,"1657, 1742, 2100",Communications; Coordination; LeadCounsel; Management; Settlement,high,,,,,,,,,
A0087,Barry M. Hill,Barry Hill,,,1,"Hill Toriseva & Williams, PLLC; Hill Williams",2,3,"1657, 1909",Coordination; Management,high,,,,,,,,,
A0088,W. Mark Lanier,,,,1,"The Lanier Law Firm; THE LANIER LAW FIRM; Law Offices of W Mark Lanier; Lanier Law Firm, P.C.",6,14,"1657, 1968, 2299, 2973, 3043, 3114",ClassCounsel; Communications; Coordination; Fees; LeadCounsel; Management,high,,,,,,,,,
A0089,W. James Singleton,,,,1,Singleton Law Firm; The Singleton Law Firm,2,4,"1657, 2299",Coordination; Management; ProSe,high,,,,,,,,,
A0090,Sol H. Weiss,Mr. Sol Weiss,,,1,"Anapol, Schwartz, Weiss, Cohan, Feldman and Smalley, P.C.; Anapol, Schwartz, Weiss, Cohan, Felman and Smalley, PC; Anapol, Schwartz, Weiss, Cohan, Feldman & Smalley, P.C.",3,4,"1657, 1708, 1842",Coordination; Management,high,,,,,,,,,
A0091,Justin Witkin,Mr. Justin Witkin,Justin G. Witkin,,1,"Aylstock, Witkin & Sasser, PLC; Aylstock, Witkin, Kreis & Overholtz, PLLC",3,4,"1657, 1708, 1998",Coordination; Management,high,,,,,,,,,
A0092,Russ M. Herman,"Russ M, Herman",Russ Herman,,1,"HERMAN, HERMAN, KATZ & COTLAR, L.L.P.; Herman, Herman & Katz, LLC; Herman, Herman, Katz & Cotlar, L.L.P.; Herman, Herman, Katz & Cotlar, LLP",2,16,"1657, 2328",Communications; Fees; Management,high,,,,,,,,,
A0093,"Andy D. Birchfield, Jr.",Andy Birchfield,Andy D. Birchfield,,1,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.; BEASLEY ALLEN; Beasley Allen et al; Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.",3,8,"1657, 2299, 2342",Fees; LeadCounsel; Management,high,,,,,,,,,
A0094,Arnold Levin,,,,1,"Levin, Fishbein, Sedran & Berman; LEVIN, FISHBEIN, SEDRAN & BERMAN",6,11,"1657, 1763, 1817, 2100, 2328, 2342",ClassCounsel; Communications; Discovery; Fees; Management; Settlement,high,,,,,,,,,
A0095,Troy Rafferty,Troy A. Rafferty,,,1,"LEVIN, PAPANTONIO, THOMAS, MITCHELL, ECHSNER & PROCTOR, PA; Levin Papantonio Thomas Mitchell Eschner & Proctor, P.A.; Levin Papantonio et al; Levin Papantonio Rafferty Proctor Buchanan O’Brien Barr Mougey, P.A.",5,10,"1657, 1909, 2299, 3080, 3140",Fees; LeadCounsel; Management,high,,,,,,,,,
A0096,Perry Weitz,,,,1,WEITZ & LUXENBERG; Weitz & Luxemberg,2,3,"1657, 1938",Fees; Management,high,,,,,,,,,
A0097,Michael A. Stratton,,,,1,,1,2,1657,Communications,high,,,,,,,,,
A0098,Shawn G. Foster,,,,1,,1,2,1657,Management,high,,,,,,,,,
A0099,Ann B. Oldfather,,,,1,,1,2,1657,LeadCounsel; Management,high,,,,,,,,,
A0100,Leonard A. Davis,,,,1,"Herman, Herman & Katz, LLC",2,3,"1657, 2328",Communications; Fees,high,,,,,,,,,
A0101,Elizabeth J. Cabraser,Elizabeth Cabraser,,,1,"LIEFF CABRASER HEIMANN & BERNSTEIN, LLP; LIEFF, CABRASER, HEIMANN & BERNSTEIN, LLP; Lief Cabraser; Lieff Cabraser Heimann & Bernstein, LLP",8,20,"1657, 1699, 1708, 1845, 1938, 2335, 2996, 3084",Bellwether; ClassCounsel; Communications; Fees; LeadCounsel; Management; Trial,high,,,,,,,,,
A0102,Richard Getty,,,,1,,1,2,1657,Fees,high,,,,,,,,,
A0103,James Lyle,,,,1,,1,2,1657,Fees,high,,,,,,,,,
A0104,"Pascal F. Calogero, Jr.",,,,1,,1,1,1657,Communications,high,,,,,,,,,
A0105,Robert E. Arceneaux,,,,1,,1,1,1657,LeadCounsel,high,,,,,,,,,
A0106,Margaret E. Woodward,,,,1,,1,1,1657,LeadCounsel,high,,,,,,,,,
A0107,"James R. Dugan, II",James Dugan,James R. Dugan II,"James Dugan, I",1,"MURRAY LAW FIRM; DUGAN LAW FIRM; Murray Law Firm; The Dugan Law Firm, LLC",12,21,"1657, 1789, 1938, 2068, 2242, 2385, 2409, 2996, 3026, 3037, 3080, 3140",Bellwether; ClassCounsel; Discovery; Fees; LeadCounsel; Management; Trial,high,,,,,,,,,
A0108,Thomas M. Sobol,Mr. Thomas M. Sobol,Thomas Sobol,,1,"HAGENS BERMAN SOBOL SHAPIRO LLP; Hagens Berman Sobol Shapiro LLP; Hagens Berman Sobol Shapiro, LLP; HAGENS, BERMAN SOBOL SHAPIRO LLP",6,12,"1657, 1708, 1730, 1938, 2343, 2409",Bellwether; ClassCounsel; Communications; Fees; LeadCounsel; Management; Trial,high,,,,,,,,,
A0109,Richard A. Freese,,,,1,"FREESE & GOSS, PLLC",1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0110,Art Sadin,,,,1,"SADIN LAW FIRM, P.C.",1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0111,William Riley,,,,1,"PRICE WAICUKAUSKI & RILEY, LLC",1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0112,Jason J. Thompson,Jason Thompson,,,1,SOMMERS SCHWARTZ,2,3,"1657, 3037",Bellwether; Management; Trial,high,,,,,,,,,
A0113,Ellen Meriwether,,,,1,CAFFERTY FAUCHER LLP,1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0114,Christopher J. McDonald,,,,1,LABATON SUCHAROW LLP,1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0115,Eric L. Young,,,,1,KENNEY EGAN MCCAFFERTY & YOUNG,1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0116,Andrew Yung,,,,1,SCOTT YUNG LLP,1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0117,"Garve W. Ivey, Jr.",,,,1,THE IVEY LAW FIRM,1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0118,Sheila Bossier,Sheila M. Bossier,,,1,"BOSSIER & ASSOCIATES, PLLC; Bossier & Associates, PLLC",2,5,"1657, 3029",Bellwether; Management; Trial,high,,,,,,,,,
A0119,Kimberly R. West,,,,1,"WALLACE, JORDAN, RATLIFF & BRANDT, LLC",1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0120,Pamela B. Slate,,,,1,"SLATE KENNEDY, LLC",1,2,1657,Bellwether; Trial,high,,,,,,,,,
A0121,Robert M. Johnston,Robert E. Johnston,,,1,"Johnston, Hoefer, Holwadel & Eldridge; Hollingsworth LLP",2,2,"1657, 3006",LeadCounsel; ProSe,high,,,,,,,,,
A0122,Douglas R. Marvin,,,,1,"Williams & Connolly, LLP",1,2,1657,LeadCounsel; Management,high,,,,,,,,,
A0123,Theodore V.H. Mayer,,,,1,Hughes Hubbard & Reed LLP,1,2,1657,Management,high,,,,,,,,,
A0124,John H. Beisner,John Beisner,,,1,"O’Melveny & Meyers LLP; O’Melveny & Myers, LLP; Skadden, Arps, Slate, Meagher & Flom, LLP & Associates",3,4,"1657, 1785, 2068",LeadCounsel; Management,high,,,,,,,,,
A0125,Richard C. Stanley,,,,1,"Stanley, Flanagan & Reuter, LLC",1,2,1657,Management,high,,,,,,,,,
A0126,Anthony M. DiLeo,,,,1,Stone Pigman Walther Wittmann LLC,1,2,1657,Management,high,,,,,,,,,
A0127,Daniel S. Sommers,,,,1,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.",1,1,1656,ClassCounsel; LeadCounsel,high,,,,,,,,,
A0128,Matthew B. Kaplan,,,,1,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.; Kaplan Law Firm",2,2,"1656, 3111",ClassCounsel; LeadCounsel; LocalCounsel,high,,,,,,,,,
A0129,Michael K. Yarnoff,,,,1,"Schiffrin Barroway Topaz & Kessler, LLP",1,1,1656,ClassCounsel; LeadCounsel,high,,,,,,,,,
