Attorney_ID,Canonical_Name,AKA_1,AKA_2,AKA_3,Variants_Merged,Firms,N_MDLs,N_Mentions,MDLs,Roles,Confidence,Gender,Birth_Year,Undergrad_School,Undergrad_Grad_Year,Law_School_Name,Law_Grad_Year,Bar_States,Sources,Notes
A0019,José M. Rojas,Jose Rojas,José M. Rosas,,3,"Levin, Rojas, Camassar & Reck, LLC",2,5,"3026, 3081",Coordination; LeadCounsel; Management,merged,,,,,,,,,
A0020,Jenniffer Elwell,Jennifer Elwell,Jenny Elwell,,3,Berger Montague,1,3,3081,Management,merged,,,,,,,,,
A0021,Paul Hanly,Paul Hanley,"Paul J. Hanly, Jr.",,2,"Hanly, Conroy, Bierstein, Sheridan, Fisher & Hayes LLP; Simmons Hanly Conroy; Hanly Conroy Bierstein & Sheridan LLP; Simmons Hanly Conroy LLC",4,9,"1570, 1699, 2244, 2804",Communications; Discovery; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0022,Thomas Mellon,"Thomas E. Mallon, Jr.",,,2,"Mellon, Webster & Shelly; Mellon, Webster & Shelley; MELLON, WEBSTER & SHELLY",3,5,"1570, 1871, 1995",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0023,Brian Gudmundson,Brian C. Gudmundson,Brian Gudmondson,,2,"Zimmerman Reed LLP; Zimmerman Reed, LLP; Zimmerman Reed PLLP; Zimmerman Reed, P.L.L.P.",10,13,"2522, 2583, 2693, 2779, 2800, 2833, 2879, 3083, 3090, 3108",ClassCounsel; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0024,Bryan L. Bleichner,Bryan Bleichner,Brian Bleichner,,2,"Chestnut Cambronne PA; Chestnut Cambronne, PA; Chesnut Cambronne PA; Chestnut Cambrone",6,9,"2522, 2583, 2800, 2833, 3090, 3108",ClassCounsel; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0025,Anne Regan,Anne Reagan,,,2,Hellmuth & Johnson PLLC; Zimmerman Reed; Hellmuth & Johnson PLL C,3,4,"2445, 2795, 2993",Management,merged,,,,,,,,,
A0026,Christopher Seeger,Christopher A. Seeger,Chris Seeger,Mr. Christopher A. Seeger,2,"Seeger Weiss LLP; Seeger Weiss; Seeger Weiss, LLP; SEEGER WEISS",41,84,"1657, 1699, 1708, 1742, 1789, 1842, 1909, 1938, 2047, 2087, 2158, 2197, 2243, 2244, 2299, 2323, 2342, 2428, 2436, 2506, 2545, 2591, 2672, 2687, 2750, 2779, 2789, 2796, 2804, 2828, 2885, 2904, 2973, 3014, 3047, 3055, 3089, 3113, 3114, 3121, 3140",ClassCounsel; Communications; Coordination; Fees; LeadCounsel; Management; Settlement; SettlementAdministration,merged,,,,,,,,,
A0027,David Buchanan,Dave Buchanan,David R. Buchanan,,2,"Seeger Weiss LLP; Seeger Weis LLP; Seeger Weiss, LLP; SEEGER WEISS, LLP",7,21,"1909, 2323, 2436, 2846, 2885, 3080, 3140",Coordination; Discovery; LeadCounsel; Management; Trial,merged,,,,,,,,,
A0028,James Dugan,"James R. Dugan, II",James R. Dugan II,Jim Dugan,2,"The Dugan Law Firm, LLC; The Dugan Law Firm, APLC; Murray Law Firm; MURRAY LAW FIRM",25,39,"1431, 1657, 1789, 1938, 2067, 2068, 2242, 2243, 2323, 2332, 2385, 2409, 2428, 2445, 2460, 2472, 2492, 2724, 2754, 2804, 2996, 3026, 3037, 3080, 3140",Bellwether; ClassCounsel; Discovery; Fees; LeadCounsel; Management; Trial,merged,,,,,,,,,
A0029,Thomas V. Girardi,Thomas Girardi,Tom Girardi,,2,Girardi and Keese; Girardi Keese; GIRARDI & KEESE; Girardi | Keese,7,16,"1657, 1807, 1840, 1967, 2100, 2323, 2404",ClassCounsel; Coordination; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0030,Steve Berman,Steve W. Berman,"Steve W. Berman, Esq.",Steven Berman,2,Hagens Berman Sobol Shapiro LLP; HAGENS BERMAN SOBOL SHAPIRO LLP; Hagens Berman Sobol Shapiro LLP (Seattle); Hagens Berman Sobol Shapiro,22,40,"1699, 1850, 1938, 1972, 2151, 2428, 2455, 2492, 2543, 2627, 2672, 2743, 2744, 2773, 2777, 2779, 2938, 3040, 3052, 3071, 3080, 3113",ClassCounsel; Communications; Discovery; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0031,W. Lewis Garrison,W. Garrison,Lewis Garrison,"W. Lewis Garrison, Jr.",2,"Heninger, Garrison & Davis; Heninger Garrison Davis, LLC,; Henninger Garrison Davis LLC; Heninger, Garrison & Davis, LLC",7,13,"1842, 1943, 2023, 2502, 2669, 2677, 2885",LeadCounsel; Management; Motions,merged,,,,,,,,,
A0032,Tom Zimmerman,Thomas Zimmerman,,,2,Zimmerman Law Offices,4,5,"2439, 2669, 2705, 3108",LeadCounsel; Management,merged,,,,,,,,,
A0033,Don Barrett,John Barrett,John W. (“Don”) Barrett,"John W. (""Don"") Barrett",2,"Barrett Law Group, P.A.; Barrett Law Office, P.A.; Barrett Law Group, PA; Barrett Law Group",12,16,"1431, 1699, 1751, 2068, 2311, 2493, 2522, 2555, 2724, 2804, 2993, 3080",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0034,Irwin Levin,Irvin Levin,Mr. Irwin B. Levin,,2,"Cohen & Malad, L.L.P.; Cohen & Malad; Cohen & Malad, LLP",3,15,"1708, 2570, 2667",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0035,Bonny Sweeney,Bonny  Sweeney,Bonney Sweeney,,2,"ROBBINS GELLER RUDMAN & DOWD LLP; Hausfeld LLP; Coughlin Stoia Geller Rudman & Robbins, LLP",3,12,"2007, 2036, 2724",ClassCounsel; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0036,Gregory Asciolla,Gregory S. Asciolla,Greg Asciolla,,2,LABATON SUCHAROW LLP; Labaton Sucharow; Labaton Sucharow LLP; DiCello Levitt Gutzler,6,12,"1957, 2284, 2724, 2993, 3107, 3148",ClassCounsel; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0037,Mindee Reuben,Mindee Rueben,,,2,"Lite DePalma Greenberg, LLC; Weinstein Kitchenoff & Asher LLC; Lite DePalma Greenberg & Afanador, LLC",2,6,"2196, 2724",Management,merged,,,,,,,,,
A0038,Elizabeth Cabraser,Elizabeth J. Cabraser,ELIZABETH CABRASER,Elizabeth Cabreser,2,"Lieff Cabraser Heimann & Bernstein, LLP; LIEFF CABRASER HEIMANN & BERNSTEIN, LLP; Lieff Cabraser Heimann & Bernstein LLP; Lieff, Cabraser, Heimann & Bernstein",20,69,"1431, 1657, 1699, 1708, 1845, 1938, 2151, 2179, 2184, 2335, 2419, 2543, 2599, 2656, 2672, 2724, 2777, 2804, 2996, 3084",Bellwether; ClassCounsel; Communications; Coordination; Discovery; Fees; LeadCounsel; Management; Settlement; SettlementAdministration; Trial,merged,,,,,,,,,
A0039,J. Richards,Douglas Richards,J. Douglas Richards,,2,"Cohen Milstein Sellers & Toll, PLLC; Cohen Milstein; COHEN MILSTEIN SELLER & TOLL PLLC; Cohen Milstein Sellers & Toll PLLC",7,10,"2213, 2332, 2409, 2445, 2460, 2472, 2516",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0040,Steven Asher,Stephen A. Asher,,,2,Weinstein Kitchenoff & Asher; Weinstein Kitchenoff & Asher LLC,3,4,"1960, 2002, 2420",Communications; Discovery; LeadCounsel; Management,merged,,,,,,,,,
A0041,Steve Larson,Steven Larson,,,2,STOLL STOLL BERNE LOKTING & SHLACHTER P.C.; Stoll Bernie Lokting & Shlachter,2,2,"2633, 2828",Communications,merged,,,,,,,,,
A0042,A. J. De Bartolomeo,A.J. De Bartolomeo,• A. De Bartolomeo,A. De Bartolomeo,2,Girard Gibbs LLP; GIRARD GIBBS; Girard Gibbs,5,9,"1982, 2100, 2187, 2299, 2385",ClassCounsel; Management,merged,,,,,,,,,
A0043,J. Rogers,J.R. Rogers,J. R. Rogers,,2,Law Offices of J. Robert Rogers; LAW OFFICES OF J. ROBERT ROGERS,3,6,"2187, 2326, 2440",Management,merged,,,,,,,,,
A0044,Laura Yaeger,Laura Yeager,,,2,Morgan & Morgan; FLEMING NOLEN & JEZ,4,6,"2187, 2326, 2440, 2441",Management,merged,,,,,,,,,
A0045,Ben Anderson,Benjamin Anderson,,,2,"ANDERSON LAW OFFICES; Anderson Law Offices, LLC",3,4,"2187, 2326, 2440",LeadCounsel; Management,merged,,,,,,,,,
A0046,A. Bartolomeo,A. J. Bartolomeo,,,2,Girard Gibbs; GIRARD GIBBS,2,2,"2326, 2440",Management,merged,,,,,,,,,
A0047,Bryan Aylstock,Bryan F. Aylstock,Brian Aylstock,,2,"Aylstock, Witkin, Kreis & Overholtz, PLLC; Aylstock Witkin Kreis & Overholtz, PLLC; AYLSTOCK WITKIN KREIS & OVERHOLTZ; Aylstock, Witkin, Kreis & Overholtz",11,29,"1871, 2187, 2326, 2327, 2342, 2458, 2734, 2885, 3025, 3089, 3140",ClassCounsel; Communications; Coordination; Fees; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0048,David Matthews,David P. Matthews,Dave Matthews,,2,Matthews & Associates; MATTHEWS & ASSOCIATES; Matthews and Associates; David Matthews & Associates,9,24,"1871, 1928, 2187, 2326, 2385, 2570, 3026, 3043, 3092",LeadCounsel; Management,merged,,,,,,,,,
A0049,Doug Monsour,Douglas Monsour,,,2,Monsour Law Firm; THE MONSOUR LAW FIRM; The Monsour Law Firm; MONSOUR LAW FIRM,7,23,"1928, 2187, 2272, 2326, 2885, 3081, 3140",Discovery; Expert; Management,merged,,,,,,,,,
A0050,Ed Blizzard,Edward F. Blizzard,Edward Blizzard,,2,"Blizzard, McCarthy & Nabers; Blizzard & Nabers; BLIZZARD, MCCARTHY & NABERS, L.L.P.; Blizzard, McCarthy & Nabers LLC",8,10,"1657, 1968, 2004, 2187, 2197, 2326, 2342, 2657",Fees; Management,merged,,,,,,,,,
A0051,Jeff Grand,Jeffrey Grand,,,2,"Bernstein Liebhard, LLP; BERNSTEIN LIEBHARD; Seeger Weiss LLP; Seeger Weiss, LLP",6,16,"2087, 2187, 2244, 2326, 2592, 3089",Discovery; Management,merged,,,,,,,,,
A0052,Joseph Saunders,Joe Saunders,,,2,Saunders & Walker; SAUNDERS & WALKER,4,9,"2187, 2326, 2391, 3044",Coordination; Management,merged,,,,,,,,,
A0053,John Restaino,Jon Restaino,,,2,The Restaino Law Firm; THE RESTAINO LAW FIRM; Restaino Siler; Restaino Law Firm,7,14,"2187, 2197, 2244, 2326, 2385, 2440, 2452",Expert; Management,merged,,,,,,,,,
A0054,Mike Miller,Michael Miller,,,2,"The Miller Firm LLC; Michael J. Miller, Esquire; The Miller Firm",3,4,"1871, 2187, 2326",Management,merged,,,,,,,,,
A0055,Peter Flowers,Pete Flowers,,,2,"Foote, Meyers, Mielke & Flowers; Meyers & Flowers, LLC; FOOTE MEYERS MIELKE & FLOWERS; Foote Meyers Mielke & Flowers, P,C.",9,18,"2187, 2197, 2272, 2326, 2385, 2391, 2441, 2768, 3004",Communications; Fees; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0056,Richard Meadow,Rick Meadow,,,2,The Lanier Law Firm; THE LANIER LAW FIRM; Lanier Law Firm; THE LANIER LAW FIRM PC,5,12,"1953, 2187, 2244, 2326, 2738",Coordination; Management; Trial,merged,,,,,,,,,
A0057,Thomas Anapol,Tom Anapol,,,2,"Anapol Schwartz; Anapol, Schwartz, Weiss, Cohon, Feldman, & Smalley, PC",5,11,"2187, 2197, 2244, 2326, 2391",Discovery; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0058,Thomas Cartmell,Tom Cartmell,Thomas P. Cartmell,,2,"Wagstaff & Cartmell, LLP; Wagstaff & Cartmell LLP; WAGSTAFF & CARTMELL; Wagstaff & Cartmell",15,40,"1699, 1871, 2187, 2244, 2326, 2327, 2342, 2387, 2440, 2591, 2641, 2885, 3047, 3073, 3081",Fees; Management,merged,,,,,,,,,
A0059,Joseph Zonies,Joe Zanies,Joseph J. Zonies,,2,REILLY POZNER; Reilly Pozner LLP; Reilly Pozner & Connelly; Reilly Pozner & Connelly.,6,8,"1871, 2187, 2326, 2342, 2458, 2789",Fees; LeadCounsel; Management,merged,,,,,,,,,
A0060,Peter Prieto,Peter  Prieto,Pete Priet,,2,"Podhurst Orseck, P.A.; PODHURST ORSECK P.A.; PODHURST ORSECK, P.A.; PODHURST ORSECK , P.A .",5,31,"2036, 2406, 2543, 2599, 2905",ClassCounsel; Expert; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0061,Jeff Ostrow,Jeffrey Ostrow,Jeffrey M. Ostrow,,2,KOPELOWITZ OSTROW; Kopelowitz Ostrow Ferguson Weiselberg Gilbert; Kopelowitz Ostrow P.A.,6,20,"2036, 3090, 3108, 3114, 3115, 3127",ClassCounsel; Communications; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0062,Chris Hellums,Christopher Hellums,,,2,"Pittman, Dutton & Hellums; Pittman, Dutton & Hellums, P.C.; Lockridge Grindal Nauen PLLP; Pittman, Dutton, Kirby & Hellums",8,17,"1985, 2087, 2406, 2441, 2595, 2734, 2885, 3140",Communications; Coordination; Discovery; Expert; Fees; Management; Motions; Settlement,merged,,,,,,,,,
A0063,"Joe R. Whatley, Jr.",Joe Whatley,Joe R. Whatley Jr.,Joe R. Whatley,2,"Whatley Drake & Kallas; Whatley Drake, LLC; Whatley Drake & Kallas LLC; Whatley Drake and Kallas, LLC",11,13,"1658, 1811, 1928, 1938, 1960, 1997, 2020, 2068, 2199, 2406, 2415",ClassCounsel; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0064,Ben Gordon,Benjamin Gordon,,,2,"Levin Papantonio Thomas Mitchell Rafferty & Proctor, P.A.; Levin Papantonio, P.A.; Thomas, Mitchell, Eishner, Rafferty & Proctor PA; Levin Papantonio",8,17,"2047, 2197, 2244, 2406, 2441, 2666, 2740, 2775",Coordination; Expert; Fees; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0065,Bob Methvin,"Robert G. Methvin, Jr.",,,2,"McCallum Methvin & Terrell PC; Methvin, Terrell, Yancey, Stephens, & Miller, P.C.",3,3,"2406, 2595, 3148",Management; Settlement,merged,,,,,,,,,
A0066,Bryan Clobes,Bryan L. Clobes,Brian Clobes,,2,Cafferty Faucher LLP; Cafferty Clobes Meriwether & Sprengel LLP; Cafferty Clobes Meriwether & Sprengel LLP-IL,6,7,"1960, 1997, 2406, 2818, 2968, 3115",ClassCounsel; LeadCounsel; Management; Motions,merged,,,,,,,,,
A0067,Christopher Coffin,Christopher L. Coffin,Chris Coffin,,2,"Pendley, Baudin & Coffin, LLP; Pendley, Baudin & Coffin, L.L.P.; Pendley, Baudin &Coffin, L.L.P.",14,20,"2000, 1736, 1958, 2067, 2247, 2342, 2406, 2441, 2458, 2495, 2502, 2606, 2666, 2740",ClassCounsel; Communications; Coordination; Expert; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0068,Garrett Blanchfield,Garett Blanchfield,"Garrett Blanchfield, Jr.",Garrett D. Blanchfield,2,"Reinhardt Wendorf & Blanchfield; Reinhardt, Wendorf, & Blanchfield",5,7,"1845, 2406, 2522, 2993, 3107",ClassCounsel; Communications; Management; Motions,merged,,,,,,,,,
A0069,Lawrence Jones,Larence Jones,"Lawrence L. Jones, II",,2,"Jones Ward; Jones Ward PLC; Jones, Ward; Bahe, Cook, Cantley & Jones, PLC",4,10,"1985, 2391, 2406, 2767",Communications; Expert; LeadCounsel; Management; Motions,merged,,,,,,,,,
A0070,Michael McGartland,Mike Mcgartland,,,2,"McGartland & Borchardt, LLP",3,4,"2406, 2441, 2775",Management; Motions; Settlement,merged,,,,,,,,,
A0071,Richard Ruoco,Richard Paul Rouco,,,2,"Whatley, Drake & Kallas, L.L.C.",2,2,"1865, 2406",Management; Motions,merged,,,,,,,,,
A0072,Wes Pittman,C. Wes Pittman,,,2,"Pittman & Perry, PA",2,2,"1985, 2406",Coordination; Discovery; Expert; Management; Motions; Settlement,merged,,,,,,,,,
A0073,M. Lambert,Palmer Lambert,M. Palmer Lambert,,2,"Gainsburgh, Benjamin, David, Meunier & Warshauer, L.L.C.; Gainsburgh, Benjamin; Gainsburgh Benjamin David Meunier & Warshauer, LLC",4,15,"2328, 2454, 2740, 2885",ClassCounsel; Communications; Management,merged,,,,,,,,,
A0074,Gabriel Assaad,Gabriel A. Assaad,Gabriel Asaad,,2,"Kennedy Hodges, LLP; McDonald Worley, PC; Kennedy Hodges; McDonald Worley",4,10,"2775, 2885, 2989, 3081",Expert; Management; Motions; Settlement,merged,,,,,,,,,
A0075,K. Lanier,Rachel Lanier,K. Rachel Lanier,,2,Lanier Law Firm; The Lanier Law Firm,2,9,"2885, 3036",LeadCounsel; Management; Vetting,merged,,,,,,,,,
A0076,Kenny Byrd,Kenneth S. Byrd,,,2,"Lieff, Cabraser, Heimann & Bernstein, LLP; LIEFF CABRASHER HEIMANN & BERNSTEIN, LLP; Lieff Cabraser",2,9,"2885, 3035",Management; Vetting,merged,,,,,,,,,
A0077,Michael Burns,Mike Burns,,,2,Mostyn Law Firm,1,6,2885,Communications; Management,merged,,,,,,,,,
A0078,Shelley Hutson,Shelly Hutson,,,2,"Clark, Love & Hutson, GP; Clark Love & Hutson; Johnson Becker",2,16,"2391, 2885",Fees; LeadCounsel; Management,merged,,,,,,,,,
A0079,Tom Pirtle,Thomas Pirtle,,,2,"Laminack, Pirtle & Martines, L.L.P.; Laminack, Pirtle & Martines",2,12,"2885, 3081",Expert; Management,merged,,,,,,,,,
A0080,W. Lanier,W. Mark Lanier,Mark Lanier,,2,The Lanier Law Firm; Lanier Law Firm; THE LANIER LAW FIRM; THE LANIER LAW FIRM PC,15,37,"1657, 1871, 1968, 2151, 2197, 2244, 2299, 2391, 2545, 2785, 2804, 2885, 2973, 3043, 3114",ClassCounsel; Communications; Coordination; Fees; LeadCounsel; Management; Trial,merged,,,,,,,,,
A0081,Mark Robinson,"Mark P. Robinson, Jr.","Mark Robinson, Jr.","Mark P. Robinson, Jr",2,"Robinson, Calcagnie & Robinson; Robinson Calcagnie, Inc.; Robinson Calcagnie Robinson Shapiro Davis Inc; Robinson Calcagnie Robinson Shapiro Davis, Inc.",13,25,"1657, 1699, 1905, 1909, 1953, 2100, 2151, 2197, 2243, 2299, 2342, 2543, 2885",Discovery; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0082,Jeffrey Bowersox,Jeff Bowersox,Jeffrey A. Bowersox,,2,Bowersox Law Firm; Bowersox Law Firm P.C.; Bowersox Law Office,4,5,"2441, 2666, 2775, 3026",Management,merged,,,,,,,,,
A0083,Wendy Fleishman,Wendy R. Fleishman,Wendy Fleischman,,2,"Lieff, Cabraser, Heimann & Bernstein, LLP; Lieff Cabraser Heimann & Bernstein, LLP; Lieff, Cabraser, Heimann & Bernstein,LLP; Lief Cabraser",12,16,"1785, 1905, 2158, 2197, 2323, 2441, 2641, 2657, 2754, 2768, 2859, 3026",Fees; LeadCounsel; Management,merged,,,,,,,,,
A0084,Frank Pitre,Frank M. Pitre,Frank Mario Pitre,,2,"Cotchett Pitre & McCarthy LLP; Pitre Simon and McCarthy; Cotchett, Pitre & McCarthy",5,8,"1699, 1968, 2151, 2543, 2672",ClassCounsel; Discovery; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0085,Joseph Rice,Joe Rice,Joseph F. Rice,,2,"Motley Rice, LLC; Motley Rice LLC; Motley Rice LLC (SC)",13,29,"2179, 2187, 2326, 2327, 2387, 2440, 2502, 2543, 2672, 2777, 2804, 2873, 2996",ClassCounsel; Fees; LeadCounsel; Management; Settlement; SettlementAdministration,merged,,,,,,,,,
A0086,Lesley Weaver,Lesley Waver,,,2,"Block & Leviton LLP; Bleichmar, Fonti & Auld LLP; Bleichmar Fonti & Auld LLP; Green & Noblin, P.C.",6,8,"2437, 2672, 2777, 2796, 2843, 2905",ClassCounsel; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0087,Marc M. Seltzer,Marc Seltzer,Mark Seltzer,,2,"Susman Godfrey L.L.P.; Susman Godfrey, L.L.P.; Susman Godfrey L.L.P; Susman Godfrey LLP",5,10,"1891, 1957, 2151, 2543, 2668",ClassCounsel; Discovery; LeadCounsel; Management,merged,,,,,,,,,
A0088,Robert Hilliard,Robert Hillard,,,2,Hilliard Munoz Gonzales LLP,1,2,2543,LeadCounsel,merged,,,,,,,,,
A0089,Adam Moskowitz,Adam M. Moskowitz,Adam Moskowtiz,,2,"The Moskowitz Law Firm, PLLC; The Moskowitz Law Firm PLLC; Kozyak Tropin & Throckmorton",3,6,"2779, 2969, 3076",ClassCounsel; LeadCounsel; Management,merged,,,,,,,,,
A0090,Michael Critchley,Michael Critchley Sr.,Michael Critchiey Sr.,,2,"Critchley, Kinum & DeNoia, LLC; Critchley, Kinum & DeNoia LLC; CRITCHLEY, KINUM & LURIA, LLC; Critchley & Kinum",3,4,"2687, 2779, 3113",Management; Trial,merged,,,,,,,,,
A0091,Norman E. Siegel,Norman Siegel,Norman Eli Siegel,Norman E. Seigel,2,Stueve Siegel Hanson LLP; Stueve Siegel Hanson LLP - KCMO; Stueve Siegel Hanson Li.?; STUEVE SIEGEL HANSON LLP,15,29,"2086, 2522, 2567, 2583, 2789, 2800, 2879, 2904, 2915, 3019, 3073, 3083, 3098, 3108, 3115",ClassCounsel; Communications; LeadCounsel; Management; Settlement,merged,,,,,,,,,
